abandonned: abandoned
reccommend: recommend
reccuring: recurring
receieve: receive
receieved: received
receipient: recipient
receipients: recipients
recepient: recipient
recepients: recipients
recepies: recipes
recepit: receipt
reciept: receipt
recieve: receive
recieved: received
reciever: receiver
recieves: receives
recieving: receiving
reclaimation: reclamation
recomend: recommend
recomendation: recommendation
recomended: recommended
recomending: recommending
recomends: recommends
recommnend: recommend
reconaissance: reconnaissance
reconcilation: reconciliation
reconnaisance: reconnaissance
recpipient: recipient
recrusive: recursive
rectange: rectangle
recurence: recurrence
recurences: recurrences
recurrency: recurrence
recursivelly: recursively
recursve: recursive
recusrive: recursive
recyclyed: recycled
redesiging: redesigning
rednerers: renderers
redudant: redundant
redundent: redundant
refeference: reference
referance: reference
referece: referee
referece: reference
refereces: references
referecing: referencing
referecnce: reference
referecne: reference
refered: referred
referencial: referential
referencially: referentially
referenece: reference
refereneced: referenced
referening: referencing
referense: reference
referernce: reference
referes: refers
refereshed: refreshed
refering: referring
refernce: reference
refernces: references
referneces: references
referrs: refers
reffered: referred
reflecton: reflection
reflecton: reflector
refrence: reference
refresing: refreshing
regadless: regardless
regardles: regardless
registartion: registration
registation: registration
registations: registrations
registeration: registration
registerd: registered
registerd: registers
registeres: registered
registeres: registers
registrating: registering
registratio: registration
registraton: registration
registred: registered
registrys: registries
registrys: registry
regresstion: regression
regstered: registered
regularily: regularly
rehersal: rehearsal
reintepret: reinterpret
relateds: related
relateds: relates
relatinships: relationships
relationshp: relationship
releas: release
releavant: relevant
relevent: relevant
religius: religious
religous: religious
rellocate: reallocate
rellocate: relocate
remaininig: remaining
remaning: remaining
remaping: remapping
rememebr: remember
remmeber: remember
removeable: removable
renderered: rendered
renderering: rendering
renderes: renders
rendred: rendered
rennovate: renovate
rennovated: renovated
rennovates: renovates
rennovating: renovating
rennovation: renovation
reosolve: resolve
repeatdly: repeatedly
repeate: repeat
repeate: repeated
repeate: repeats
repersents: represents
repesent: represent
repesents: represents
repetead: repeated
repetetive: repetitive
repitition: repetition
replacable: replaceable
reponse: response
repositores: repositories
reprersent: represent
represantion: representation
represenation: representation
represens: represents
represensation: representation
representig: representing
represention: representation
reproducable: reproducible
reprsentations: representations
reprsents: represents
repsitory: repository
repsonse: response
reqest: request
reqested: requested
reqeust: request
reqistration: registration
reqiured: required
requesed: requested
requeste: requested
requeste: requests
requierements: requirements
requirment: requirement
requirments: requirements
requried: requeried
requried: required
requries: requires
reseliency: resiliency
resemblence: resemblance
resepctively: respectively
resepectively: respectively
resetable: resettable
reseted: reset
reseting: resetting
resetted: reset
resetted: resetter
resiliance: resilience
resilliency: resilience
resillient: resilient
resistence: resistance
resistent: resistant
resolvabe: resolvable
resotre: restore
resouces: resources
resourse: recourse
resourse: resource
responce: response
respone: respond
respone: response
respones: responds
respones: responses
responsable: responsible
responsbility: responsibility
responsibilites: responsibilities
responsiblities: responsibilities
responsiblity: responsibility
respository: repository
resposne: response
respresentable: representable
respresents: represents
restaraunt: restaurant
restared: restarted
restict: restrict
restrictrive: restrictive
restult: result
retransmited: retransmitted
retreivable: retrievable
retreival: retrieval
retreive: retrieve
retreived: retrieved
retreiver: retriever
retreives: retrieves
retreiving: retrieving
retreving: retrieving
retrive: retrieve
retrived: retrieved
retrives: retries
retrives: retrieves
retriving: retrieving
retuns: returns
retured: returned
returnd: return
returnd: returned
returnes: returned
returnes: returns
returnning: returning
revers: reverse
rewinded: rewound
rewriten: rewritten
rigourous: rigorous
rolledback: rollbacked
rolledback: rolled back
rollsback: rolls back
rolout: rollout
Rolsyn: Roslyn
roomate: roommate
roundhous: roundhouse
roundrobin: round-robin
roundtriped: roundtripped
rount: round
runing: running
runned: ran
runned: run
rutime: runtime
rutnime: runtime
safisfies: satisfies
samaphore: semaphore
sargeant: sergeant
sargeants: sergeants
satelite: satellite
satelites: satellites
Saterday: Saturday
satified: satisfied
satifies: satisfies
satisfaciton: satisfaction
satisfiabilty: satisfiability
satisifed: satisfied
satisified: satisfied
satisify: satisfy
satistied: satisfied
satistying: satisfying
satsify: satisfy
scaleable: scalable
scaning: scanning
sccessful: successful
schedue: schedule
schedular: scheduler
scrol: scroll
seaching: searching
searchin: searching
searchs: searches
searpate: separate
seconde: second
seconde: seconds
secratary: secretary
secretery: secretary
seeakable: seekable
seeked: sought
segement: segment
segements: segments
segmneted: segmented
selcting: selecting
selction: selection
selctor: selector
selecotr: selector
selecton: selection
selecton: selector
semanticaly: semantically
semaphor: semaphore
sematic: semantic
sematically: semantically
sematics: semantics
sempahore: semaphore
sended: sent
sensetive: sensitive
sensititive: sensitive
senstivity: sensitivity
sentance: sentence
sentances: sentences
sentinal: sentinel
separarately: separately
separatelly: separately
separete: separate
separeted: separated
separted: separated
separtor: separator
sepcific: specific
sepcified: specified
sepecify: specify
seperable: separable
seperate: separate
seperated: separated
seperately: separately
seperating: separating
seperation: separation
seperator: separator
seperators: separators
seprate: separate
Septemeber: September
seqence: sequence
sequance: sequence
sequece: sequence
sequencial: sequential
sequencially: sequentially
sequnece: sequence
sequneces: sequences
serilializer: serializer
serilializers: serializers
serivces: services
servcie: service
servicable: serviceable
sesison: session
seting: setting
setings: settings
setlement: settlement
setted: set
setterless: setter-less
settigns: settings
setttings: settings
sevice: device
sevice: service
shareaware: shareware
sheduled: scheduled
sheeps: sheep
sherif: sheriff
sherrif: sheriff
sherrifs: sheriffs
shieds: sheds
shieds: shields
shiping: shipping
shooping: shopping
shorcut: shortcut
shortcircuit: short-circuit
shoudl: should
shoudn't: shouldn't
shouldnt: shouldn't
shoulnd't: shouldn't
shourtcut: shortcut
shrinked: shrank
shrinked: shrunk
shuold: should
sigificand: significand
sigificands: significands
signedess: signedness
signes: signs
signficant: significant
signicantly: significantly
signifant: significant
signifcance: significance
significently: significantly
signign: signing
signiture: signature
signle: single
signture: signature
sillynes: silliness
similarily: similarity
similarily: similarly
similiar: similar
simlar: similar
simplier: simpler
simpliest: simplest
simulatously: simultaneously
simultaneousely: simultaneously
simultanous: simultaneous
simultanously: simultaneously
singulariry: singularity
skipable: skippable
slighlty: slightly
slighty: slightly
snaphot: snapshot
snipppet: snippet
somehting: something
sometehing: something
sometihng: something
somewere: somewhere
somthing: something
souvenier: souvenir
souveniers: souvenirs
souvereign: sovereign
sovereignity: sovereignty
spagetti: spaghetti
sparated: separated
spcified: specified
speadsheet: spreadsheet
specail: special
specfic: specific
specfied: specified
specfy: specify
specialy: specially
specifc: specific
specifcially: specifically
specifciation: specification
specifed: specified
specifially: specifically
specificaiton: specification
specificed: specified
specifiction: specification
specifieid: specified
specifing: specifying
specifiy: specify
specifiying: specifying
speciments: specimens
speficied: specified
spefified: specified
spinns: spins
splited: split
splitted: split
splittler: splitter
spontanious: spontaneous
sqllite: sqlite
squence: sequence
squeze: squeeze
squigglies: squiggles
sreenshot: screenshot
sreenshots: screenshots
standart: standard
standrad: standard
statefull: stateful
stategy: strategy
statemenet: statement
statemenets: statements
statetement: statement
staticly: statically
statment: statement
statments: statements
stedfast: steadfast
stirng: string
storeage: storage
streamimg: streaming
strenght: strength
strenghten: strengthen
strenghtened: strengthened
strenghtening: strengthening
strenghts: strengths
striclty: strictly
striked: stricken
striked: struck
stringyness: stringiness
strnig: string
strting: starting
strucure: structure
strucuture: structure
stubborness: stubbornness
stucked: stuck
stucture: structure
stuctures: structures
subcription: subscription
subdirectoires: subdirectories
subdirectores: subdirectories
subexpresssion: subexpression
subexpresssions: subexpressions
subexression: subexpression
subexressions: subexpressions
subfoler: subfolder
sublcass: subclass
submodul: submodule
subqery: subquery
subqyery: subquery
subscribition: subscription
subscripe: subscribe
subscripe: subscript
subseqent: subsequent
subseqently: subsequently
subsitute: substitute
subsitution: substitution
substition: substitution
substitiution: substitution
substitued: substituted
substituion: substitution
substract: subtract
substracting: subtracting
substraction: subtraction
substutition: substitution
substutitions: substitutions
succceeded: succeeded
succceeds: succeeds
succcess: success
succcesses: successes
succedded: succeeded
succeded: succeed
succeded: succeeded
succedes: succeeds
succeding: succeeding
succeds: succeeds
succeededed: succeeded
succeedes: succeeds
succeeed: succeed
succeeeds: succeeds
succeess: success
succes: success
succesffully: successfully
succesful: successful
succesfull: successful
succesfully: successfully
succesion: succession
succesive: successive
succesor: successor
successfull: successful
successfuly: successfully
successully: successfully
succintly: succinctly
suceed: succeed
suceeded: succeeded
suceeding: succeeding
suceeds: succeeds
sucesfull: successful
sucesfully: successfully
sucess: success
sucesses: successes
sucessful: successful
sucessfull: successful
sucessfully: successfully
sucessfuly: successfully
sucession: succession
sucessive: successive
sucessor: successor
sufferred: suffered
sufferring: suffering
sufficent: sufficient
sufficently: sufficiently
suffixies: suffixes
sufix: suffix
suggetion: suggestion
sumable: summable
sumamry: summary
sumary: summary
sumation: summation
summ: sum
summaeries: summaries
summmary: summary
sunglases: sunglasses
supeclass: superclass
supercede: supersede
superceded: superseded
supercedes: supersedes
superceding: superseding
superceeded: superseded
superiour: superior
supervisored: supervised
suplemental: supplemental
supoort: support
suport: support
suported: supported
suporting: supporting
suports: supports
supose: suppose
suposed: supposed
suposedly: supposedly
suposes: supposes
suposing: supposing
supplimentary: supplementary
supportd: supported
supportd: supports
suppplied: supplied
suppport: support
suppported: supported
suppporting: supporting
suppports: supports
suppresing: suppressing
suppresion: suppression
suppresions: suppressions
supress: suppress
supressed: suppressed
supresses: suppresses
supressing: suppressing
supression: suppression
suprise: surprise
suprised: surprised
suprises: surprises
suprising: surprising
suprisingly: surprisingly
suranme: surname
suround: surround
surounded: surrounded
surounding: surrounding
suroundings: surroundings
surounds: surrounds
surpress: suppress
surprize: surprise
swiming: swimming
switchs: switches
swtich: switch
symblic: symbolic
symetric: symmetric
symetrical: symmetrical
symetrically: symmetrically
symetry: symmetry
syncd: synced
synchnously: synchronously
synchonously: synchronously
synchronosuly: synchronously
synchronus: synchronous
syncronous: synchronous
synonomous: synonymous
synopsys: synopsis
synoyms: synonyms
syntatic: syntactic
syntatical: syntactical
syntatically: syntactically
syntesizer: synthesizer
syntesizers: synthesizers
synthethic: synthetic
sytnax: syntax
szie: size
taht: that
targetss: targets
targetted: targeted
targetting: targeting
tatoo: tattoo
tatoos: tattoos
teared: tore
teared: torn
techincal: technical
teh: the
telemtry: telemetry
temlates: templates
tempate: template
temporar: temporal
temporar: temporary
temporarly: temporarily
temporarly: temporary
temprorary: temporary
tennant: tenant
tennants: tenants
teriminal: terminal
ternarary: ternary
terrestial: terrestrial
terriffic: terrific
thereafeter: thereafter
therefor: therefore
therfore: therefore
thershold: threshold
thesholds: threshold
thingss: things
thorws: throws
threashold: threshold
threatment: treatment
threatning: threatening
threshhold: threshold
thresold: threshold
thresolds: thresholds
throtling: throttling
throtting: throttling
throught: thought
throught: through
througput: throughput
throwed: threw
throwed: thrown
tigger: tiger
tiggers: tigers
timpestamp: timestamp
timstamp: timestamp
tobbaco: tobacco
tokenizier: tokenizer
tomatos: tomatoes
tommorow: tomorrow
tommorrow: tomorrow
tood: todo
torpedos: torpedoes
traditionnal: traditional
trafic: traffic
tranformation: transformation
tranisent: transient
tranparent: transparent
tranport: transport
tranportation: transportation
tranpositions: transpositions
transaciton: transaction
transation: transaction
transations: transactions
transcation: transaction
transcendance: transcendence
transcendant: transcendent
transction: transaction
transfered: transferred
transfering: transferring
transformes: transform
transformes: transforms
transitve: transitive
translatio: translation
transmitable: transmittable
transparancy: transparency
transparant: transparent
transparantly: transparently
transpileres: transpilers
trasaction: transaction
trasactions: transactions
trasformer: transformer
traslation: translation
travarsal: traversal
treshold: threshold
tresholds: thresholds
triger: trigger
trigered: triggered
trigerred: triggered
trigerring: triggering
triggerred: triggered
trilion: trillion
tripple: triple
troubleshootin: troubleshooting
truely: truly
truncute: truncate
truncuted: truncated
truncutes: truncates
truncuting: truncating
trustworthyness: trustworthiness
truthyness: truthiness
twelth: twelfth
twelveth: twelfth
typeographic: typographic
tyrany: tyranny
tyrranies: tyrannies
tyrrany: tyranny
tytpically: typically
ubiquitious: ubiquitous
udpate: update
udpates: updates
ugprade: upgrade
uknown: unknown
Ukranian: Ukrainian
unaccessible: inaccessible
unacompanied: unaccompanied
unamanaged: unmanaged
unambiguos: unambiguous
unambiguosly: unambiguously
unappropriate: inappropriate
unccompressed: uncompressed
uncertainity: uncertainty
unchallengable: unchallengeable
uncoment: uncomment
uncomented: uncommented
uncomenting: uncommenting
uncoments: uncomments
uncommited: uncommitted
uncommment: uncomment
uncommmented: uncommented
uncommmenting: uncommenting
uncommments: uncomments
uncomparable: incomparable
uncompressible: incompressible
unconditionaly: unconditionally
unconstrainted: unconstrained
underate: underage
underate: underrate
underlaing: underlying
underlaying: underlying
understend: understand
underying: underling
underying: underlying
underyling: underling
underyling: underlying
undesireable: undesirable
unecessary: unnecessary
unexcepted: unexpected
unexistant: nonexistent
unexistent: nonexistent
unforgetable: unforgettable
unforseen: unforeseen
unfortunateley: unfortunately
unfortunatelly: unfortunately
unfortunatly: unfortunately
unfortunetely: unfortunately
unidoce: unicode
unilateraly: unilaterally
uninstalation: uninstallation
uninstalltion: uninstallation
unintialized: uninitialized
unintrepreted: uninterpreted
uniqe: unique
uniqeu: unique
uniquness: uniqueness
unknow: unknown
unknwon: unknown
unknwown: unknown
unkown: unknown
unlabelled: unlabeled
unmanged: unmanaged
unnacceptable: unacceptable
unncessary: unnecessary
unneccesarily: unnecessarily
unneccesary: unnecessary
unneccessarily: unnecessarily
unneccessary: unnecessary
unnecesarily: unnecessarily
unnecesary: unnecessary
unnnecesary: unnecessary
unordererd: unordered
unpakc: unpack
unqoted: unquoted
unqouted: unquoted
unreferened: unreferenced
unreproducible: irreproducible
unresolable: unresolvable
unsollicited: unsolicited
unspecfied: unspecified
unspecifed: unspecified
unsuccesful: unsuccessful
unsuccesfull: unsuccessful
unsuccesfully: unsuccessfully
unsuccessfull: unsuccessful
unsuccessfull: unsuccessfully
unsucesfull: unsuccessful
unsucesfully: unsuccessfully
unsucessful: unsuccessful
unsucessfull: unsuccessful
unsucessfully: unsuccessfully
unsuported: unsupported
unsuppoted: unsupported
unsuprised: unsurprised
unsuprising: unsurprising
unsuprisingly: unsurprisingly
untill: until
unwinded: unwound
unwraped: unwrapped
unwrappered: unwrapped
unziped: unzipped
upcomming: upcoming
uper: super
uper: upper
upholstry: upholstery
uppper: upper
uresolved: unresolved
usefull: useful
usefuly: usefully
userdefined: user-defined
ussualy: usually
usuall: usual
usuall: usually
usualy: usually
usuaully: usually
ususally: usually
utilites: utilities
utiltiy: utility
uturn: u-turn
vaccuum: vacuum
vairable: variable
valdiation: validation
valdity: validity
validatation: validation
validateble: validatable
validatior: validation
validatior: validator
validtion: validation
valueable: valuable
variablity: variability
vartically: vertically
vastely: vastly
vebosity: verbosity
veiwed: viewed
vengance: vengeance
vengence: vengeance
verfication: verification
verfied: verified
verfier: verifier
verificiation: verification
verificiations: verifications
verifing: verifying
verifiy: verify
verifyable: verifiable
verifyer: verifier
verision: version
verisions: versions
verison: version
verisons: versions
versionned: versioned
versionning: versioning
veryfy: verify
viceversa: vice versa
viemwodel: viewmodel
viemwodels: viewmodels
vigourous: vigorous
villian: villain
villification: vilification
villify: vilify
visability: visibility
visbility: visibility
visibile: visible
visibilites: visibilities
visibilty: visibility
visiblity: visibility
vitrually: virtually
vulnerablities: vulnerabilities
vulnerablity: vulnerability
wanring: warning
wasnt: wasn't
watermeloon: watermelon
wegihts: weights
wellformed: well-formed
wellknown: well known
wellknown: well-known
werent: weren't
wheather: weather
wheather: whether
whehter: whether
wheter: whether
whethor: whether
whteher: whether
whther: whether
widht: width
wierd: weird
wihout: without
wiht: with
wihtin: within
wihtout: without
wilcard: wildcard
wilcards: wildcards
withing: within
withing: witting
withnout: without
withouth: without
witout: without
wokrbook: workbook
wonderfull: wonderful
wonderfull: wonderfully
workaroud: workaround
workbbok: workbook
workheets: worksheets
worskpace: workspace
wouldbe: would-be
wraped: wrapped
wrappered: wrapped
wrappping: wrapping
wrapps: wraps
writte: write
writte: written
wrtten: written
wtehher: whether
wtih: with
youve: you've
zerobased: zero-based
ziped: zipped
